TICKER,ACTION,PRICE,QUANTITY,DATE
AAPL,SELL,148.94,17,2026-09-25
GOOGL,BUY,134.61,8,2026-09-19
MSFT,SELL,394.01,14,2026-09-30
GOLD,SELL,2284.37,31,2026-09-18
GOOGL,BUY,137.38,34,2026-09-10
GOLD,SELL,2197.87,27,2026-09-15
GOOGL,BUY,140.56,7,2026-09-10
AAPL,SELL,161.48,16,2026-09-22
MSFT,SELL,429.21,28,2026-09-02
MSFT,SELL,363.41,22,2026-09-24
GOOGL,SELL,135.53,36,2026-09-30
TSLA,SELL,194.19,32,2026-09-19
TSLA,BUY,209.57,44,2026-09-06
GOLD,BUY,2055.92,10,2026-09-15
GOLD,SELL,2286.11,36,2026-09-19
